Where are you from? 	고향이 어디십니까? 
I couldn't have done without it. 	저는 그것이 없었더라면 못해냈을 거예요. 
She wasn't that scientifically minded. 	그녀는 그다지 과학적인 사고를 못했지요. 
They named it after him. 	그것은 그의 이름을 따서 붙였습니다. 
I wonder how you could come up with such ideas. 	전 당신이 어떻게 그런 생각을 할 수 있었는지 궁금합니다.
We're only now beginning. 	우리는 이제 겨우 시작에 불과해요. 
I'm dying to get my hands on it. 	전 그걸 꼭 제 손에 넣고 싶어요. 
It's me! 	저예요! 
I'm not like you. 	난 당신 같지 않아요. 
The point is you're not a mechanic. 	요지는 당신이 기술자가 아니라는 거예요. 
This is the one thing I will not be able to bear. 	이것만은 제가 참을 수 없어요. 
We made fun of James. 	우리가 제임스를 놀렸어요. 
He's always ten minutes early for everything. 	그는 언제나 무엇을 하든 십 분씩 일찍 옵니다. 
I was looking forward to getting to know him. 	저는 그와 친해질 수 있기를 기대하고 있었습니다. 
I'm accusing him of fraud. 	저는 그를 사기로 고발하는 겁니다. 
It is nothing more than a hoax. 	그것은 속임수에 불과합니다. 
`We called him ``Long-Da-Ri.`` `	우리는 그를 “롱다리”라고 불렀습니다. 
I think any race of this nature is foolishness. 	저는 이런 성질의 경쟁은 어떤 것이든지 다 어리석다고 생각합니다. 
I said what I said in good faith. 	저는 확고한 믿음을 가지고 그 말을 한 것입니다. 
This is the real thing. 	이건 진짜입니다. 
`If I've hurt you in any way, I'm very sorry. `	`제가 어떻게든 당신에게 고통을 드렸다면, 사과드립니다. `
That's never happened to me before. 	전에는 그런 일이 저한테 한 번도 없었어요. 
I believe everything will turn out fine. 	저는 모든 것이 좋게 끝날 거라고 믿습니다. 
I would rather be an optimist than a pessimist. 	저는 염세주의자가 되기보다는 오히려 낙천주의자가 되겠습니다. 
Push it down. 	그걸 아래로 누르세요. 
She's turning off the road.	그녀는 길을 벗어나고 있어요. 
He's been tested for drugs. 	그는 마약 검사를 받았습니다. 
That would explain the bruises. 	그걸 보면 상처가 왜 생겼는지 설명이 되겠군요. 
Show him around. 	그 분을 안내해 주세요. 
I'll write a check to your account. 	당신 계좌로 수표를 송금하겠습니다. 
This is a place for poor people. 	여기는 가난한 사람들을 위한 곳이에요. 
Have any of you heard of the Army? 	여러분들 가운데 군대에 대해 들어본 사람이 있습니까? 
I can straighten this all out. 	제가 이 모든 것을 분명하게 할 수 있어요. 
Can I just make one telephone call? 	전화 한 통화 할 수 있을까요? 
I didn't say a word about you know what. 	`알잖아요, 그것에 대해 저는 한 마디도 안했어요. `
What are you writing? 	당신은 뭘 쓰고 있나요? 
We've been working together for four years. 	우린 4년 동안을 같이 일해 왔습니다. 
It was bad judgement on your part. 	그건 당신 쪽에서 판단을 잘못한 것이었어요. 
I don't know how to drive. 	전 운전할 줄 몰라요. 
`At the next corner, turn right. `	`다음 모퉁이에서, 우회전 하세요. `
I thought you ought to know. 	전 당신이 알고 있어야 한다고 생각했습니다. 
It's just like I told you.	제가 당신에게 말해준 그대로예요. 
I have to find them. 	전 그들을 찾아야만 해요. 
That scientist will study the virus. 	그 과학자는 그 바이러스를 연구할 겁니다. 
Does that disturb you? 	저것 때문에 당신이 괴로운가요? 
That boy's hiding in a barn. 	저 소년은 외양간에 숨어 있어요. 
They'll catch on. 	그들은 깨닫게 될 거예요. 
Do you believe me now? 	이제 제 말이 믿겨져요? 
Tell me more about Jeffrey. 	제프리에 대한 얘기를 더 해봐요. 
We weren't into that kind of stuff. 	우리는 그런 것을 하지 않고 있었죠. 
He formed this underground army. 	그는 이런 지하 단체를 만들었어요. 
He sold his friends out. 	그는 자신의 친구들을 배반했어요. 
You can't just barge in on them. 	당신은 그들에게 함부로 쳐들어 갈 수 없는 거예요. 
We are in big trouble. 	우린 아주 곤란한 처지에 있어요. 
What is the matter with your leg? 	당신 다리가 왜 그래요? 
This can't go on. 	이게 계속될 수는 없어요. 
I have never seen him before in my life. 	전 태어나서 그를 본 적이 한 번도 없습니다. 
I'm here about the job opening in this company. 	저는 이 직장에 자리가 있다고 해서 여길 왔습니다. 
I would love it if that were true. 	그게 사실이었으면 정말 좋겠어요. 
It can be dealt with. 	그건 처리될 수 있는 거예요. 
I wanna be clear about this. 	전 이에 대해 분명하게 하고 싶어요. 
It's a normal reaction to a life-threatening situation. 	그건 생명을 위협하는 상황에서 정상적인 반응입니다.
Others will take over now. 	이제는 다른 사람들이 인계를 받을 겁니다. 
You'll be out of here in no time. 	당신은 곧 여기를 나갈 겁니다. 
You're a trained psychiatrist. 	당신은 숙련된 정신과 의사예요. 
You know the difference between what's real and what's not. 	당신은 뭐가 사실이고 뭐가 아닌지의 차이를 알고 있어요. 
I'm sorry to call you so early this morning. 	이렇게 이른 아침에 전화를 드려서 죄송합니다. 
This can't be. 	이건 그럴 리가 없어요. 
I have the experience. 	저는 그런 경험이 있습니다. 
He really is the most qualified. 	사실상 그가 가장 적격입니다. 
I don't have access to the virus. 	전 바이러스에 접근할 수 없어요. 
We got plans for you. 	우리는 당신을 위한 계획이 있어요. 
Someone let all the animals out of the zoo. 	누군가가 동물원에서 동물들을 모두 풀어 줬어요. 
That's what they were up to. 	그것이 바로 그들이 의도했던 거예요. 
I have the papers right here. 	제가 여기 서류를 가지고 있습니다. 
It's all proper. 	전부 다 완벽합니다. 
I think you hit the nail on the head. 	제 생각에는 당신이 바로 알아맞힌 것 같군요. 
I'm in insurance. 	전 보험 사업을 하고 있어요. 
It can't be transmitted through air. 	이건 공기를 통해서 전염될 수 없어요. 
I'm working on my mud fort. 	난 내 진흙 요새 만드는 일을 하고 있어요. 
If you just gave it a chance… 	네가 단지 기회를 만들기만 하면… 
I'll put you on the next plane. 	제가 당신을 다음 비행기에 태워 드릴게요. 
He has no idea what happens. 	그는 어떻게 되는지 전혀 모릅니다. 
Maybe I won't go to hell afterall. 	아마도 결국 내가 지옥에 가지 않을지도 모르지요. 
How much water are we talking about? 	얼마만큼의 물에 대해 말을 하는 거지? 
I still say that the lion would win. 	난 그래도 사자가 이길 거라고 봐요. 
The shark won easily. 	상어가 쉽게 이겼어요. 
I never heard of a shark with a leash. 	난 상어가 가죽 끈을 했다는 건 들어보지 못했어요. 
He fell off the jungle gym. 	그는 정글짐에서 떨어졌어요. 
He could've caught something. 	그는 무슨 병인가에 걸렸을 수도 있었어요. 
They were nice to me. 	그들은 나한테 잘해줬어요. 
I should go take a nap. 	난 가서 낮잠을 자야 돼요. 
I heard him coughing. 	전 그가 기침하는 것을 들었어요. 
What if I bump into him? 	제가 만약 그 사람하고 마주치면 어떻게 하지요? 
That rules out sleep overs. 	그건 하룻밤 자고 가는 걸 불가능하게 해요. 
You got to promise not to laugh. 	웃지 않겠다고 약속해야 돼요. 
I had to dump her. 	전 그녀를 차버려야 했어요. 
We haven't really talked it out. 	우린 그것에 대한 자세한 의견을 나눠 보지는 못했어요. 
Whenever I catch her twirling her hair.	그녀가 머리를 꼬고 있는 것이 내게 걸릴 때마다. 
We've decided not to take any chances. 	우린 모험을 하지 않기로 했답니다. 
We're heading out to Baskin-Robbins. 	우린 베스킨 라빈스로 향할 거예요. 
They might not find the cure in time. 	그들이 제시간에 치료약을 발견하지 못할지도 몰라요. 
He used up all his money. 	그는 자기 돈을 다 써버렸어요. 
You're going to have to wait until tomorrow. 	당신은 내일까지 기다려야만 돼요. 
Is your friend staying for dinner again? 	당신의 친구는 오늘도 저녁 식사를 하고 갈 겁니까? 
You guys are very wound up today. 	당신들은 오늘 아주 흥분해 있어요. 
This is for after lunch. 	이건 점심 식사 후에 먹는 거예요. 
Maybe he can mail it to us. 	그가 우리에게 우편으로 보내 주실 수 있을지도 몰라요. 
I don't want them associating with each other. 	전 그들이 서로 교제하는 걸 원하지 않습니다. 
If she allows him to see you. 	만약 그녀가 그와 당신을 만날 수 있게 한다면. 
He weighs over two thousand pounds. 	무게가 이천 파운드도 넘어요. 
What if he decides to tip us over? 	그가 만약에 우리를 뒤집으려고 한다면 어떻게 하죠? 
Where are you headed? 	어디로 향하는 길입니까? 
You're going to have to do better than that. 	당신은 그것보다는 더 많은 돈을 내야 할 텐데요. 
Could you put some of this on my back? 	이걸 내 등에다가 좀 발라 주시겠어요? 
You misspelled your tattoo. 	당신 문신의 철자가 잘못 됐어요. 
Suppose you kept going. 	네가 계속해서 간다고 가정해 봐. 
What if there's nothing out there? 	만약 거기에 아무것도 없으면 어떻게 하지요? 
Hold onto this while you sleep. 	당신이 잘 동안 이걸 꼭 잡고 있어요.
Erik must be close by. 	에릭이 바로 곁에 있는 게 틀림없어요. 
How long before you run out of pills? 	약이 떨어지려면 얼마나 남았지요? 
Let's get something to eat. 	뭔가 먹을 걸 가지러 가요. 
We tricked the nurses. 	우린 간호사들을 속였어요. 
She must have hit the roof. 	그녀는 틀림없이 아주 화를 냈겠어요. 
Go get a nurse. 	가서 간호사를 불러오세요. 
My shift ends at four. 	내 교대는 네 시에 끝나요. 
You ready for another victim? 	다른 희생자를 맞이할 준비가 되었어요? 
Wait right here. 	잠깐만 기다려 봐요. 
You take as much time as you want. 	당신이 원하는 만큼 얼마든지 있도록 하세요. 
Come around and visit every once in a while. 	이따금 여기로 찾아오세요. 
I tried everything. 	난 모든 노력을 다 했어요. 
Don't think less of me. 	제가 못났다고 생각하지 마세요. 
You have too much time on your hands. 	당신들에게는 남아도는 시간이 너무 많아요. 
It's dumb to spend a fifty dollars on an LP. 	LP판을 50달러나 주고 사는 것은 바보 같은 짓이에요. 
I had an interesting day myself. 	저도 흥미로운 하루를 보냈어요.
I took the rest of the day off. 	저는 조퇴를 했어요. 
It's custom-made. 	주문해서 만든 것이죠. 
Nobody knows about it. 	아무도 이것에 대해서 모릅니다. 
They were branded as traitors. 	그들은 반역자라는 낙인이 찍혔습니다. 
